,Song,Artist,Lyrics
128,Drowning,A Boogie Wit da Hoodie,"I'm drownin'
I'm drownin'
I'm drownin'
I'm drownin'
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I'm with all my niggas, I don't go nowhere without 'em
If they don't let us in they might throw shots at the bouncer
Actavis medicine, got it straight from out the doctor's
I'm with RJ but I call him Wayne 'cause he's a shotta
Pick up the ladder, put it in the gun, make the .9 stretch
Niggas with attitude, but we come straight out of Highbridge
I'm gon' make her panties wet when she see the way I flex
I'm gon' win a Grammy, move my family out the projects
We went from chillin' in the projects to makin' projects
We was tryna get to the top, and they tried to stop us
I talk for myself, bitch I don't need no fucking voucher
She looked at my wrist and she looked at a hundred thousand
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
Just bought a brand new chain from Avianne
Nigga with attitude but I ain't from Compton
Lil Kodak, bitch, I'm Polo'd down like Carlton
Sniper Gang, I put a nigga on a carton
I'm the shit I'm fartin', I don't know how to potty
Pull up in a 'Rari, I'm in the Yo like Gotti
A Boogie, I'm goin' Scottie, nigga drop my deposit
I ain't Jamaican, bitch I'm Haitian, but I got them shottas
Harley Davidson every day, I'm ridin' with the chopper
They hatin', I know they don't wanna see a nigga prosper
I ain't doing trims, I'm in the cut like I'm a barber
She call me daddy, but I ain't her motherfucking father
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
Bitch, I'm drownin'
Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'"
129,Dura (Remix),Daddy Yankee,"(*Me gusta mi reggae*)
Natti Nat
(
Yeh-yeh-yeh-yeh
)
¡Fuego!
Becky-Becky-Becky G
(
Bad Bunny, baby)
Sikiri-da-da, Daddy Yankee, yo'
Cuando yo la vi, dije: ""Si esa mujer fuera para mí""
Perdóname, te lo tenía que decir
'Tás dura (
Dura
), dura (
Dura
), dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de die'
'Tás dura, dura, dura
Búscate limón y tequi
Que así e' como se prende Becky
De PG me pongo triple equi'
Porque las shorty-shorty son las del pique (
Pique
)
¿Quieres conquistarme? Págame el ticke' (
Ticket, ticket
)
Cuida'o, porque te vas a envolver
Cuida'o, las mujeres tienen poder
Cuida'o, aviso 'e peligro
Baila conmigo sin filtro (
Zumba
)
Tienes el toque, toque, toque
Miren el material, edición especial
Tienes el toque, toque, toque
Perdóname, te lo tenía que decir
'Tás 
dura
 (
Dile
; dura), 
dura
 (Dura), 
dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel (
Yeh, yeh
)
Dura
, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'? (Dime)
Dura, yo te doy un veinte de diez (
¿Cómo?
)
'Tás dura (
Eh
), dura (
Eh
), dura (
Eh
)
La dura de las dura'
Tengo sueltecita la cintura, pa' bajarte to' esa calentura (
¿Cómo?
)
De nadie me dejo
Yo soy vegetariana pero me como al Conejo (
¿Qué-qué-qué?
)
Cuida'o, porque te vas a envolver
Cuida'o, las mujeres tienen poder
Cuida'o, perreo sin filtro
Soy la dura, me llaman ""Peligro""
(Yeh, yeh, yeh, yeh)
Parece modelo, le sobra el piquete (Huh!)
Si fuera stripper le llovieran los billete' (Yeh)
Antes que la nota se me trepe
Quiero bailar contigo pa' ver si tú le mete' (Prr)
Plan B es Plan B
Yankee se la perrea y yo también
Dime por qué todavía no has subido el challenge
Si cuando tú llegas, baby, las demás se salen
Porque tú estás
 dura (
Dura
; oh), dura (
Dura
; eh), dura, dura, dura
Yo estoy dura, mano arriba porque luzco muy bien
'Toy dura, papacito, te subo de nivel
Dura, 
mira como brilla mi piel
Dura, 
yo lo meneo muy bien, así es que e'
Dura, 
tú me diste un veinte de diez
'Tás dura, dura, dura (¡Fuimo'!)
Número uno, 'tás en primer lugar
Con esa baby yo quiero bailar
Y mami, cuando bailas, ¿quién te frena?
Ere' una general, por eso te ve' buena (¡Uy!)
Tira la pista, Urba
Mami, si tú ere' calle, me pierdo en esa' curva' (¡Uy!)
Bailando tiene resistencia 'e maratón
Le llaman la reina del reggaetón (¡Plo-plo-plo-plo!)
Cuando yo la vi (Dímelo, baby girl)
Dije: ""Si esa mujer fuera para mí"" (Pa' mí esa baby)
Perdóname, te lo tenía que decir
'Tás dura (Dura; oh), dura (Dura; eh), dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura
, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás 
dura
, yo te doy un veinte de diez
'Tás 
dura, dura, dura
Tú tienes el size, otra como tú, mami, no hay
Pégate, dale boom bye-bye
Papi, si tienes el size, vente, enséñame to' lo que hay
Pégate y dame boom bye-bye
Que tú tienes el size, otra como tú, mami, no hay
Pégate, dale boom bye bye
Papi, si tienes el size, vente, enséñame to' lo que hay
Pégate y dame boom bye-bye (Eh-eh)
Retumbando las bocina':
Dirili-Daddy, Becky, Natti, Bad Bunny, nos fuimo' lejos
Sigan las regla', que aquí manda la remezcla
Dura, dura, dura (D.Y.)
Evo Jedis
(¡Fuego!)"
130,Dynamite,BTS,"'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Bring a friend, join the crowd, 
whoever wanna come along
Word up
, talk the talk, 
just move like we off the wall
Day or night, 
the sky's alight
, so we dance to the break 
of dawn
 (Hey)
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball
 (Huh)
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Dyn-na-na-na, na-na-na-na-na, na-na-na, 
life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, 
life is dynamite
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite
(
This is ah
) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (
Alight, oh
)
Shinin' through the city with a little funk and soul
So I'ma light
 (
Light 
) 
it
 (
It
) 
up
 (
Up
) 
like
 (
Like
) 
dynamite
 (
Dynamite
), 
woah-oh-oh
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
 (Oh)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh"
131,EARFQUAKE,"Tyler, The Creator","For real, for real this time
For real, for real, for real this time
Bitch, I cannot fall short
For real, for real, for real this time (
Uh, yeah
)
For real, for real, for real this time
'Cause you make my earthquake
Oh, you make my earthquake
Riding around, your love be shakin’ me up
And it's making my heart break
'Cause you make my earthquake (Earthquake, ooh)
Oh, you make my earthquake
Riding around, your love be shakin’ me up
And it's making my heart break
Don't leave, it's my fault
Don't leave, it's my fault
Don't leave, it's my fault (Girl)
’Cause when it all comes crashing down I’ll need you
'Cause you make my earthquake
Oh, you make my earthquake
Riding around, you’re telling me something is bad
And it's making my heart break
'Cause you make my earthquake, oh, you make my earthquake
(
Earthquake, yeah
)
Riding around, your love be shakin' me up
And it’s making my heart break (
You already know
)
We ain't gotta ball, D. Rose, huh
I don't give a fuck 'bout none', huh
Breathin' like fuck my lungs, huh
Just might call my lawyer, huh
Plug gon' set me up, huh (Yeah)
Bih', don't set me up (Okay)
I'm with Tyler, yuh (Slime)
He ride like the car, huh
And she wicked, huh, yuh
Like Woah Vicky, huh, yeah (Like Woah Vicky)
Oh, my God, hold up, um
These diamonds not Tiffany, huh, yeah (Woah, woah)
So in love (I been so in love)
So in love (I been so in love)
Don't leave, it's my fault (Fault)
Don't leave, it's my fault
Don't leave, it's my fault (Igor, ayy)
'Cause when it all comes crashing down I'll need you (Ayy, ayy)
'Cause you make my earthquake
I don't want no confrontation, no
And you don't want my conversation (
I don't want no conversation
)
I just need some confirmation on how you feel, for real (
For real
)
You don't want no complication, no
I don't want no side information (
I don't want no side information
)
I just need to know what's happening
'Cause I'm for real (For real)
I said don't leave, it's my fault (One)
I said don't leave, it's my fault (Two, two)
Don't leave, it's, it's my fault, girl (Three, three, three)
Don't, do-do-do-do-do, I'll need—"
132,Easy On Me,Adele,"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me
I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me"
133,Eau D’Bedroom Dancing,Le Tigre,"I'm in the sky when I'm on the floor
The world's a mess and yr my only cure
There's no time
 for me to act mature
The only words I know are ""more"", ""more"" and ""more""
No one to criticize me then
No one to criticize
No one to criticize me then
No one to criticize
There's no fear when I'm in my room
It's so clear and I know just what I want to do
Eau d'bedroom dancing
To you, I wanna say yr my thing
You teach me
You teach me
You teach me
You teach me
You only teach me wisely
Only show me why
(I remember)
(I remember everything)
(I don't wanna stop)
(I remember everything)"
134,El Farsante (Remix),Ozuna,"This is a Golden Remix (Oh-oh-oh)
King
Calculan que relaciones que fracasan, mayormente es por desengaño
Falsedad que contamina y hace daño
Tú fuiste perfecto clavel que con mis manos marchité
Mi obra se llama ""Romeo sin Julieta otra vez""
Puedes pensar soy el rey de las mentiras
Volvería a fallar, aunque lo jure por mi vida
Mis palabras no importan ni valen ni de rodilla, na' 'e na'
Dice que ha visto muchas novelas y el actor debe llorar
¡No!, ¿ahora qué hago?
Ozuna y yo somos farsantes, nos ahogamo' en el fracaso
¡No!, no juro en vano
Jamás yo vuelvo a ser infiel con chapiadoras, yo te amo
¡No!, escúchame esta pena que siento
Voy a hacer otro disco con Aventura y te lo dedico enterito
Bebé
Si todavía me amas como ante'
Ya nada me parece interesante (-sante)
Yo sé que en el amor soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé
Si todavía me amas como antes
Ya nada me parece interesante
Yo sé que en el amor soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé
Sin ti yo no me vuelvo a enamorar, no sé ni qué pensar
Ya sé porque todo me sale mal
Mentí diciéndote que era leal, siendo un amor real
Le pido a Dios me pueda perdonar
No quiero que te vaya', vamo' a intentarlo
¿Por qué no salvamo' nuestra relación?
Tú sabe', bebé
Perdona, bebé
Ey, bebé
Si todavía me amas como ante'
Ya nada me parece interesante
Yo sé que en el amor soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé (
Eh
)
Si todavía me amas como ante'
 (
¡Eh!
)
Ya nada me parece interesante
 (
-sante
)
Yo sé que en el amor soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé
Extraño tu aroma en la cama
De ese que dejas cuando entras y sales
¿Dónde quedaron los beso' y todos los planes? (Oh-oh-oh)
No sé si vivir o morir
Me encuentro en un limbo desde que te fuiste de aquí (Oh, oh)
Ere' la única persona que yo quiero que se venga encima de mí
Mi libertad no la quiero, tampoco la vida de soltero (Oh, oh)
Yo lo que quiero es que quieran lo mismo que todos queremo' (Oh, oh)
Tener una cuenta de banco con dígitos y muchos cero' (Eh, eh)
Hacer el amor a diario y de paso, gastar el dinero
Dime, bebé
Si todavía me amas como antes
Ya nada me parece interesante
Yo sé que en el amor soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé (
Eh
)
Si todavía me amas como ante'
 (
¡Eh!
)
Ya nada me parece interesante
 (
-sante
)
Yo sé que en el 
amor
 soy un farsante
Yo sin ti no vuelvo a enamorarme, bebé
I had to do it
Golden remix
The King"
135,Eleanor Rigby,The Beatles,"Ah, look at all the lonely people!
Ah, look at all the lonely people!
Eleanor Rigby
Picks up the rice in the church where a wedding has been
Lives in a dream
Waits at the window
Wearing the face that she keeps in a jar by the door
Who is it for?
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Father McKenzie
Writing the words of a sermon that no one will hear
No one comes near
Look at him working
Darning his socks in the night when there's nobody there
What does he care?
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Ah, look at all the lonely people!
Ah, look at all the lonely people!
Eleanor Rigby
Died in the church and was buried along with her name
Nobody came
Father McKenzie
Wiping the dirt from his hands as he walks from the grave
No one was saved
All the lonely people (Ah, look at all the lonely people!)
Where do they all come from?
All the lonely people (Ah, look at all the lonely people!)
Where do they all belong?"
136,Element,Pop Smoke,"I might just hit it raw, hold on, that's not my element
I like dark skins, love her melanin
Huh, Christian Louboutin what I'm steppin' in
Thirty bottles of Azul, tell 'em send 'em in
I had the Lambo, switch to the 'Rari
I'm a gangster, but I like to party
Pop a Perky, go retarded
I'm a Brooklyn nigga, I'm cold-hearted
That's why I like the bad gyal (Woah), like RiRi (Wait)
Every time she see me, she wanna eat me (Hold on)
I saw like Justin Bieber, please believe me
I said, ""Wow, I'm on the TV""
I can't fuck with broke bitches, they be creepy
She be actin' up, she always tryna leave me
But she a bad gyal and she freaky
I have her hangin' off the rod like she MiMi
I never hit a bitch more than once 'cause they be leeches
But her pussy good, it taste like peaches
But she can have it, I don't need it
I'd rather have my money green like kiwi
I don't talk to niggas 'cause they be cappin'
Disrespect me and see what happen
I don't make a call for war, I start snappin'
Grr, them bullets blastin'
All the opps mad that I lapped them
He said, ""What's stackin'?"" Nothin' but my money
'Member my pockets flat? Now they chunky
I ain't a pretty boy, but I ain't ugly
And I'll take your bitch in a second
If she a real one, then I'll protect it
Traded the AP, told my jeweler Patek it
And it's all VVS and flower settings
I might just hit it raw, hold on, that's not my element
I like dark skins, love her melanin
Huh, Christian Louboutin what I'm steppin' in
Thirty bottles of Azul, tell 'em send 'em in
I had the Lambo, switch to the 'Rari
I'm a gangster, but I like to party
Pop a Perky, go retarded
I'm a Brooklyn nigga, I'm cold-hearted
Yoz, what you tellin' me?"
137,Empire State of Mind,JAY-Z,"Yeah
Yeah, I'm out that Brooklyn, now I'm down in Tribeca
Right next to De Niro,
 
but I'll be hood forever
I'm the new Sinatra, and since I made it here
I can make it anywhere, yeah, they love me everywhere
I used to cop in Harlem, hola, my Dominicanos (
Dímelo!
)
Right there up on Broadway, brought me back to that McDonald's
Took it to my stash spot, 560 State Street
Catch me in the kitchen, like a Simmons whippin' pastry
Cruisin' down 8th Street, off-white Lexus
Drivin' so slow, but BK is from Texas
Me? I'm out that Bed-Stuy, home of that boy Biggie
Now I live on Billboard and I brought my boys with me
Say ""What up?"" to Ty Ty, still sippin' Mai Tais
Sittin' courtside, Knicks and Nets give me high fives
Nigga, I be spiked out (
Come on
), I could trip a referee (
Come on
)
Tell by my attitude (
Come on
) that I'm most definitely from
In New York (
Ayy
, uh, yeah; 
aha
)
Concrete jungle 
(
Yeah
) where dreams are made of
There's nothin' you can't do 
(
Yeah
, okay)
Now you're in New York 
(
Aha, aha, aha
; uh, yeah)
These streets will make you feel brand-new (
New
)
Big lights will inspire you (
Come on
) (Okay)
Let's hear it for New York (
You welcome, OG
;
 uh)
New York (Yeah), New York (Uh, 
I made you hot, nigga
)
Catch me at the X with OG at a Yankee game
Shit, I made the Yankee hat more famous than a Yankee can
You should know I bleed blue, but I ain't a Crip though
But I got a gang of niggas walkin' with my clique though
Welcome to the meltin' pot, corners where we sellin' rock
Afrika Bambaataa shit, home of the hip-hop
Yellow cab, gypsy cab, dollar cab, holla back
For foreigners, it ain't fair, they act like they forgot how to add
Eight million stories out there in the naked
City, it's a pity half of y'all won't make it
Me? I gotta plug Special Ed, ""I Got It Made""
If Jeezy's payin' LeBron, I'm payin' Dwyane Wade
Three dice cee-lo, three-card Marley
Labor Day Parade—rest in peace, Bob Marley
Statue of Liberty, long live the World Trade
 (
Come on, come on
)
Long live the king, yo (
Come on
)—
I'm from the Empire State, that's
In New York (
Ayy
; uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do 
(
That boy good
, okay)
Now you're in New York (
Uh, yeah, 
welcome to the bright lights, baby
)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)
Lights is blinding, girls need blinders
So they can step out of bounds quick, the side lines is
Lined with casualties who sip the life casually
Then gradually become worse
—
don't bite the apple, Eve!
Caught up in the in-crowd, now you're in-style
Into the winter gets cold, en vogue with your skin out
City of sin is a pity on a whim
Good girls gone bad, the city's filled with them
Mami took a bus trip, now she got her bust out
Everybody ride her, just like a bus route
""Hail Mary"" to the city, you're a virgin
And Jesus can't save you, life starts when the church end
Came here for school, graduated to the high life
Ball players, rap stars, addicted to the limelight
MDMA (
Come on
) got you feelin' like a champion (
Come on
)
The city never sleeps (
Come on
), better slip you a Ambien
In New York (
Ayy, ow
, uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (Okay)
Now you're in New York (Uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)
One hand in the air for the big city (Oh)
Street lights, big dreams, all lookin' pretty (Oh)
No place in the world that could compare (Nah)
Put your lighters in the air, everybody say
""Yeah, yeah"" (Come on, come on)
""Yeah, yeah"" (Come on)
In New York (Uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (Okay)
Now you're in New York (Uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)"
138,Enemy,Imagine Dragons,"Look out for yourself
I wake up to the sounds of the silence that allows
For my mind to run around, with my ear up to the ground
I'm searchin' to behold the stories that are told
When my back is to the world that was smilin' when I turned
Tell you you're the greatest
But once you turn, they hate us
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
But I'm ready
Your words up on thе wall as you're prayin' for my fall
And the laughter in thе halls and the names that I've been called
I stack it in my mind, and I'm waitin' for the time
When I show you what it's like to be words spit in a mic
Tell you you're the greatest
But once you turn, they hate us (Ha)
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look; 
yeah
)
(Look out for yourself)
Uh, look, okay
I'm hopin' that somebody pray for me
I'm prayin' that somebody hope for me
I'm stayin' where nobody 'posed to be p-p-posted
Being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em, ""Hasta luego""
They wanna plot on my trot to the top
I been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc
On an opposition, kinda shockin' they wanted static
With precision, I'm automatic quarterback
I ain't talkin' sackin', pack it
Pack it up, I don't panic, batter-batter up
Who the baddest? It don't matter 'cause we at your throat
Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy
Oh, the misery (Ah)
Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy
Pray it away, I swear I'll never be a saint, no way
My enemy
Pray it away, I swear I'll never be a saint
(Look out for yourself)"
139,Euphoria,BTS,"너는 내 삶에 다시 뜬 햇빛
어린 시절 내 꿈들의 재림
모르겠어 이 감정이 뭔지
혹시 여기도 꿈속인 건지
꿈은 사막의 푸른 신기루
내 안 깊은 곳의 a priori
숨이 막힐 듯이 행복해져
주변이 점점 더 투명해져
저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
선명해지는 그 곳으로 가
Take my hands now
You are the cause of my euphoria
Euphoria
Take my hands now
You are the cause of my euphoria
Oh yeah, yeah, yeah, yeah, yeah, yeah (Oh)
Oh yeah, yeah, yeah, yeah, yeah, yeah (Euphoria)
Oh yeah, yeah, yeah, yeah, yeah, yeah
Close the door now
When I'm with you, I'm in utopia
무지개처럼
지워진 꿈을 찾아 헤맸을까
운명 같은 흔한 말관 달라
아픈 너의 눈빛이 나와 같은 곳을 보는 걸
Won't you please stay in dreams, yeah?
저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
선명해지는 그곳으로 가
Take my hands now
You are the cause of my euphoria
Oh, yeah, yeah, yeah, yeah, yeah, yeah
Euphoria
Take my hands now
You are the cause of my euphoria
모래 바닥이 갈라진대도
그 누가 이 세겔 흔들어도
잡은 손 절대 놓지 말아 줘
제발 꿈에서 깨어나지 마
저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
(제발 꿈에서 깨어나지 마)
선명해지는 그곳으로 가
Take my hands now
You are the cause of my euphoria
Yeah, yeah, yeah, yeah
Euphoria (Euphoria, oh)
Take my hands now
You are the cause of my euphoria
Oh yeah, yeah, yeah, yeah, yeah, yeah (Yeah, yeah, yeah, yeah)
Oh yeah, yeah, yeah, yeah, yeah, yeah (Oh, euphoria)
Oh yeah, yeah, yeah, yeah, yeah, yeah
Close the door now
When I'm with you, I'm in utopia"
140,Everglow,Coldplay,"Oh, they say people come, say people go
This particular diamond was extra special
And though you might be gone, and the world may not know
Still I see you, celestial
Like a lion you ran, a goddess you rolled
Like an eagle, you circled, in perfect purple
So how come things move on? How come cars don’t slow?
When it feels like the end of my world
When I should, but I can’t let you go
But when I’m cold, cold
Yeah, when I’m cold, cold
There’s a light that you give me when I’m in shadow
There’s a feelin' within me, everglow
Like brothers in blood, sisters who ride
And we swore on that night, we’d be friends 'til we die
But the changin' of winds, and the way waters flow
Life is short as the fallin' of snow
And now I’m gonna miss you, I know
But when I’m cold, cold
In water rolled, salt
And I know that you’re with me and the way you will show
And you’re with me wherever I go
And you give me this feelin', this everglow
Oh, what I wouldn't give for just a moment to hold
Yeah, I live for this feelin', this everglow
So if you love someone, you should let them know
Oh, the light that you left me will everglow"
141,Every Time the Sun Comes Up,Sharon van Etten,"Pace man for you
Hold my 
horses
 patient
Hey, man, tricks can wait
To heal my emotions
Every time the sun comes up, I'm in trouble
Every time the sun comes up, I'm in trouble
People say I'm a one hit wonder
But what happens when I have two
I washed your dishes
But I shit in your bathroom
Even when the sun comes up, I'm in trouble
Even when the sun comes up, I'm in trouble
We broke your glasses
But covered our asses
Take time silently
Feel real room high five
When every time the sun comes up, I'm in trouble
Every time the sun comes up, I'm in trouble
Yeah, every time the sun comes up, I'm in trouble
Imagine when
Every time the sun comes up, I see double
Hmmm
Hmmm
Yes, she is
(Maybe something will change haha
Sorry, my headphones fell off)"
142,Everybody Dies in Their Nightmares,XXXTENTACION,"Ooh, ahh, ahh, ahh
Don't go, don't go to sleep
Don't go, stay up and
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Only time I feel pain, when I'm feelin' love
That's why it's tatted on my face that I'm damn numb
Only tell you 'bout my mind when I'm all alone
That's why I'm never really 'lone in the night time
Change hoes like clothes, I can't get attached
'Cause these hoes fire starters like lit matches
I've been feelin' really lost, duckin' all attachments
I don't really go outside 'cause I hate traffic
I don't wanna go outside, get caught in traffic, traffic
Ooh, ahh, ahh, ahh
Don't go, don't go to sleep
Don't go, stay up and
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Nigga really wanna die in the night time
Nigga really wanna die in the night time
Nigga really wanna die in the night time, uh
Nigga really wanna die in the night time, uh
Nigga really wanna die in the night time
Don't go to sleep
Don't go, stay up with me
Don't go, don't go to sleep
Don't go, stay up and don't go to sleep
Ooh, ahh, ahh, ahh
Don't go, don't go to sleep
Don't go, stay up and don't"
143,Exit Music (For A Film),Radiohead,"Wake from your sleep
The drying of your tears
Today we escape, we escape
Pack and get dressed
Before your father hears us
Before all hell breaks loose
Breathe, keep breathing
Don't lose your nerve
Breathe, keep breathing
I can't do this alone
Sing us a song
A song to keep us warm
There's such a chill
Such a chill
And you can laugh a spineless laugh
We hope your rules and wisdom choke you
Now we are one in everlasting peace
We hope that you choke, that you choke
We hope that you choke
That you choke
We hope that you choke
That you choke"
